@relation bookkeeper_TR1
@attribute SIZE numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute IS_BUGGY {'true', 'false'}
@data
35,1,1,1,1,1.0,0,0,0.0,false
231,4,2,12,6,3.0,7,6,1.75,false
92,5,2,742,688,148.4,679,675,135.8,false
50,1,1,3,3,3.0,0,0,0.0,false
29,1,1,1,1,1.0,0,0,0.0,false
37,1,1,3,3,3.0,0,0,0.0,false
180,3,2,15,12,5.0,12,8,4.0,false
147,0,0,0,0,0.0,0,0,0.0,false
98,1,1,1,1,1.0,0,0,0.0,false
149,1,1,3,3,3.0,0,0,0.0,false
45,0,0,0,0,0.0,0,0,0.0,false
105,4,2,43,39,10.75,2,1,0.5,false
227,2,1,52,50,26.0,1,1,0.5,false
98,1,1,4,4,4.0,0,0,0.0,false
96,3,1,11,5,3.6666666666666665,1,1,0.3333333333333333,false
60,1,1,1,1,1.0,0,0,0.0,false
68,1,1,11,11,11.0,0,0,0.0,false
74,1,1,4,4,4.0,0,0,0.0,false
603,8,3,80,24,10.0,34,11,4.25,false
62,0,0,0,0,0.0,0,0,0.0,false
84,3,1,9,5,3.0,1,1,0.3333333333333333,false
157,2,2,7,6,3.5,6,6,3.0,false
35,0,0,0,0,0.0,0,0,0.0,false
41,1,1,1,1,1.0,0,0,0.0,false
177,2,1,4,2,2.0,1,1,0.5,false
66,1,1,13,13,13.0,1,1,1.0,false
84,2,1,49,46,24.5,1,1,0.5,false
39,2,1,10,7,5.0,1,1,0.5,false
53,0,0,0,0,0.0,0,0,0.0,false
197,3,2,11,6,3.6666666666666665,10,9,3.3333333333333335,false
72,0,0,0,0,0.0,0,0,0.0,false
91,1,1,5,5,5.0,0,0,0.0,false
169,8,2,63,17,7.875,31,18,3.875,false
22,0,0,0,0,0.0,0,0,0.0,false
248,6,3,40,16,6.666666666666667,54,28,9.0,false
193,0,0,0,0,0.0,0,0,0.0,false
50,0,0,0,0,0.0,0,0,0.0,false
74,1,1,2,2,2.0,1,1,1.0,false
98,1,1,2,2,2.0,1,1,1.0,false
62,0,0,0,0,0.0,0,0,0.0,false
737,2,1,149,144,74.5,1,1,0.5,false
48,2,1,8,5,4.0,0,0,0.0,false
566,3,2,34,32,11.333333333333334,5,4,1.6666666666666667,false
385,5,2,15,8,3.0,21,14,4.2,false
46,1,1,1,1,1.0,0,0,0.0,false
61,2,2,5,4,2.5,0,0,0.0,false
29,1,1,1,1,1.0,0,0,0.0,false
56,0,0,0,0,0.0,0,0,0.0,false
204,4,2,6,2,1.5,80,75,20.0,false
393,10,3,96,48,9.6,190,90,19.0,false
28,0,0,0,0,0.0,0,0,0.0,false
114,3,1,9,4,3.0,1,1,0.3333333333333333,false
1026,13,3,220,81,16.923076923076923,481,194,37.0,false
369,0,0,0,0,0.0,0,0,0.0,false
183,3,2,20,16,6.666666666666667,2,2,0.6666666666666666,false
58,1,1,2,2,2.0,1,1,1.0,false
728,5,2,203,121,40.6,168,77,33.6,false
42,0,0,0,0,0.0,0,0,0.0,false
289,1,1,1,1,1.0,0,0,0.0,false
103,1,1,30,30,30.0,0,0,0.0,false
181,6,2,22,9,3.6666666666666665,11,4,1.8333333333333333,false
42,0,0,0,0,0.0,0,0,0.0,false
64,1,1,16,16,16.0,0,0,0.0,false
548,8,2,492,401,61.5,138,59,17.25,false
138,0,0,0,0,0.0,0,0,0.0,false
78,0,0,0,0,0.0,0,0,0.0,false
52,1,1,2,2,2.0,0,0,0.0,false
58,1,1,1,1,1.0,0,0,0.0,false
137,3,1,13,10,4.333333333333333,1,1,0.3333333333333333,false
58,2,1,5,3,2.5,0,0,0.0,false
41,0,0,0,0,0.0,0,0,0.0,false
38,1,1,2,2,2.0,0,0,0.0,false
69,2,2,29,25,14.5,25,25,12.5,false
452,3,2,20,17,6.666666666666667,2,1,0.6666666666666666,false
87,1,1,1,1,1.0,0,0,0.0,false
72,1,1,1,1,1.0,0,0,0.0,false
