@relation zookeeper_TR5
@attribute SIZE numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute IS_BUGGY {'true', 'false'}
@data
35,2,1,1,1,0.5,0,0,0.0,false
41,2,1,1,1,0.5,0,0,0.0,false
78,4,2,79,70,19.75,10,8,2.5,false
55,3,2,12,5,4.0,2,2,0.6666666666666666,false
88,2,1,4,3,2.0,4,4,2.0,false
38,2,1,7,5,3.5,2,2,1.0,false
69,4,2,8,6,2.0,24,19,6.0,false
460,11,4,49,24,4.454545454545454,22,13,2.0,true
98,2,1,1,1,0.5,0,0,0.0,false
107,6,4,12,6,2.0,11,6,1.8333333333333333,false
82,2,1,9,5,4.5,2,2,1.0,false
194,6,3,21,6,3.5,16,12,2.6666666666666665,false
58,2,1,8,6,4.0,2,2,1.0,false
80,1,1,4,4,4.0,6,6,6.0,false
92,4,2,101,92,25.25,2,2,0.5,false
564,5,3,204,194,40.8,71,65,14.2,false
112,4,3,13,5,3.25,3,2,0.75,false
94,4,2,114,85,28.5,11,9,2.75,false
457,2,1,1,1,0.5,0,0,0.0,false
129,0,0,0,0,0.0,0,0,0.0,false
88,4,2,17,8,4.25,7,4,1.75,false
85,2,1,9,6,4.5,2,2,1.0,false
79,2,1,7,6,3.5,1,1,0.5,false
99,2,1,1,1,0.5,0,0,0.0,false
833,2,1,2,2,1.0,0,0,0.0,false
898,7,3,952,908,136.0,16,10,2.2857142857142856,false
33,2,1,6,5,3.0,2,2,1.0,false
117,3,2,13,5,4.333333333333333,22,20,7.333333333333333,false
88,5,3,18,6,3.6,5,2,1.0,false
28,2,1,6,5,3.0,2,2,1.0,false
30,2,1,6,5,3.0,2,2,1.0,false
197,6,4,27,11,4.5,11,4,1.8333333333333333,false
99,2,1,1,1,0.5,0,0,0.0,false
72,3,2,12,6,4.0,2,2,0.6666666666666666,false
95,2,1,6,5,3.0,2,2,1.0,false
336,3,1,7,6,2.3333333333333335,2,2,0.6666666666666666,false
142,2,1,1,1,0.5,0,0,0.0,false
626,10,4,145,82,14.5,167,106,16.7,false
88,2,1,1,1,0.5,0,0,0.0,false
590,13,4,921,573,70.84615384615384,197,79,15.153846153846153,false
225,6,3,90,34,15.0,38,23,6.333333333333333,false
252,2,1,1,1,0.5,0,0,0.0,false
323,0,0,0,0,0.0,0,0,0.0,false
132,7,4,452,264,64.57142857142857,172,151,24.571428571428573,false
37,2,1,7,6,3.5,2,2,1.0,false
72,2,1,7,6,3.5,2,2,1.0,false
62,3,1,3,2,1.0,3,3,1.0,false
81,2,1,8,6,4.0,2,2,1.0,false
33,2,1,1,1,0.5,0,0,0.0,false
81,1,1,2,2,2.0,8,8,8.0,false
26,2,1,6,5,3.0,2,2,1.0,false
76,2,1,9,5,4.5,2,2,1.0,false
83,3,1,4,3,1.3333333333333333,4,4,1.3333333333333333,false
265,8,4,40,26,5.0,23,12,2.875,false
43,2,1,7,5,3.5,2,2,1.0,false
40,3,1,47,40,15.666666666666666,2,2,0.6666666666666666,false
251,2,1,1,1,0.5,0,0,0.0,false
60,1,1,1,1,1.0,1,1,1.0,false
189,6,4,204,177,34.0,22,15,3.6666666666666665,false
56,5,3,23,11,4.6,10,5,2.0,false
120,5,2,47,17,9.4,11,9,2.2,true
46,2,1,6,5,3.0,2,2,1.0,false
69,3,1,35,19,11.666666666666666,2,2,0.6666666666666666,false
107,2,1,7,7,3.5,0,0,0.0,false
55,2,1,1,1,0.5,0,0,0.0,false
219,4,3,21,7,5.25,5,3,1.25,false
582,0,0,0,0,0.0,0,0,0.0,false
89,0,0,0,0,0.0,0,0,0.0,false
378,8,3,408,369,51.0,12,6,1.5,false
110,2,1,7,6,3.5,2,1,1.0,false
34,2,1,7,5,3.5,2,2,1.0,false
43,2,1,1,1,0.5,0,0,0.0,false
38,2,1,7,5,3.5,2,2,1.0,false
117,2,1,1,1,0.5,0,0,0.0,false
76,4,3,26,10,6.5,17,8,4.25,false
395,8,4,429,391,53.625,8,2,1.0,false
33,0,0,0,0,0.0,0,0,0.0,false
485,3,1,6,2,2.0,5,4,1.6666666666666667,false
132,2,1,1,1,0.5,0,0,0.0,false
33,2,1,6,5,3.0,2,2,1.0,false
78,2,1,9,5,4.5,2,2,1.0,false
74,2,1,6,5,3.0,2,2,1.0,false
45,2,1,8,5,4.0,2,2,1.0,false
61,2,1,10,5,5.0,2,2,1.0,false
26,3,2,3,2,1.0,18,18,6.0,false
